,lat,lon
0,53.798823,-1.5406996
1,51.5220198,-0.046224
2,51.7075911,-0.6105459
3,51.7043534,-0.6132459
4,53.3649388,-3.016132
5,51.5503834,-0.1177666
6,51.3844798,-0.1738202
7,51.3843618,-0.1737411
8,51.2374157,-0.5677078
9,51.4913252,-0.0903501
10,54.7397862,-1.5240192
11,51.417262,-0.3693376
12,53.8066093,-1.5830101
13,52.1972857,0.1455689
14,51.2721394,0.4832499
15,51.5258468,0.0294459
16,52.0058418,-0.2657269
17,51.1496199,0.8700466
18,51.1493958,0.8725375
19,53.4795441,-2.2485632
20,53.7969865,-1.5908235
21,53.7970912,-1.5894236
22,53.4802939,-2.2452535
23,53.8139969,-1.6323896
24,55.8880718,-4.3779961
25,53.8101507,-1.6502162
26,51.5436647,-0.1132708
27,57.4796356,-4.2256837
28,51.1706873,0.8717514
29,51.5462358,-0.1022144
30,52.6809394,0.9420988
31,51.57235,-0.3544763
32,51.5692193,-0.347321
33,51.5687059,-0.1111236
34,52.0226273,-0.689835
35,51.5563995,-0.2151126
36,51.5563061,-0.2150065
37,51.5546155,-0.2126041
38,52.4029623,-2.016091
39,51.4065197,0.0124591
40,51.4003374,0.0166012
41,51.4001691,0.0167578
42,51.4449216,-0.2051366
43,51.7365409,-1.2081714
44,52.9806328,-2.1548902
45,51.4303731,-0.3066715
46,51.4309457,-0.3068603
47,51.5316083,-0.0371207
48,51.4443627,0.2164264
49,56.0063056,-3.7307395
50,52.4386601,-1.9405077
51,52.1359477,-0.4665473
52,51.5082407,-3.1331546
53,51.5973417,-0.1093728
54,51.5130283,-0.1509526
55,52.4460165,-1.9329042
56,53.6740498,-1.6941873
57,51.2623781,-1.0872824
58,51.2624879,-1.0865435
59,51.2632951,-1.0865848
60,51.5118127,-0.0820271
61,51.5147843,-0.0780473
62,51.5499832,-0.1409634
63,52.218144,-0.0706373
64,51.4776889,-0.1015748
65,58.2080828,-6.3878217
66,51.489311,-0.0965476
67,51.518332,-0.171436
68,51.5175849,-0.1664046
69,51.5873136,-0.13289
70,51.599386,-0.1018299
71,51.5920782,-0.0695821
72,51.5929471,-0.0694557
73,55.5921593,-4.4879873
74,55.5992846,-4.496984
75,52.7227171,-4.0547647
76,51.5871885,-0.3047637
77,52.6692485,0.1576314
78,51.3967662,0.1738734
79,51.3969204,0.1735666
80,52.5632703,-1.8233591
81,51.5566338,-0.0465039
82,51.4622598,-0.21655
83,51.4624374,-0.2164982
84,55.8517686,-4.0205214
85,52.6284247,-1.9999093
86,51.7280073,-1.2250514
87,51.5390954,-0.0980906
88,51.5616355,-0.0738737
89,57.4849099,-4.2358199
90,56.4612236,-2.9711999
91,51.506298,-0.237379
92,52.5440204,-1.8949256
93,51.9185718,-0.1797187
94,55.9329417,-3.235492
95,53.7711335,-1.720546
96,56.4624469,-2.9684113
97,53.7064456,-1.6545036
98,51.7625578,-0.2265475
99,52.5425169,-1.8857903
100,51.5113348,-0.0775963
101,51.7626191,-0.2307134
102,51.528009,-0.132269
103,53.784824,-1.5596138
104,51.5303311,-0.1227932
105,53.407591,-2.978669
106,53.7685249,-1.7131167
107,51.4885016,-0.110998
108,51.5165928,-0.1409962
109,54.3375675,-1.4343067
110,54.3401691,-1.4340846
111,54.3386956,-1.4335629
112,54.3405695,-1.4342295
113,51.49591,-0.082811
114,51.495598,-0.083154
115,53.4528268,-2.3938941
116,51.5137604,-0.0756409
117,53.4483184,-2.3550092
118,55.6810284,-4.5144347
119,53.4545126,-2.3252619
120,55.0567113,-1.5951808
121,51.7203579,-1.2015971
122,51.5137435,-0.1014909
123,55.0573925,-1.6273182
124,51.9018517,-0.20212
125,51.7466603,-1.2030376
126,52.4358246,-1.8164077
127,56.4671279,-2.8748836
128,51.5147835,-0.1410552
129,51.2439002,-0.6110705
130,50.1010342,-5.2739585
131,51.5337386,-0.0978797
132,51.4277721,-0.9466116
133,51.516852,-0.119628
134,51.4819121,-0.1995261
135,51.5396991,-0.0970261
136,51.541102,-0.0944208
137,51.5466066,-0.15826
138,51.3574901,-0.2168891
139,51.5656189,-0.1073558
140,55.7699982,-2.0056111
141,51.4934559,-0.1672322
142,51.5220933,-0.1621436
143,52.8910848,-1.4519714
144,52.785093,-1.5764712
145,52.4050973,-1.8863653
146,52.4060775,-1.8872024
147,51.5004756,-0.0979035
148,52.9046308,-1.4747933
149,52.8022427,-1.6301389
150,51.5566124,-0.1387932
151,51.5560075,-0.1367668
152,53.7581583,-2.7030346
153,52.4814503,-1.896065
154,52.4815263,-1.8961733
155,52.4811468,-1.8958443
156,52.517223,-1.9019027
157,52.5340196,-1.918228
158,52.5452164,-1.9330013
159,52.5445063,-1.9308167
160,52.5411342,-1.8850955
161,53.4145818,-2.3511991
162,52.498793,-1.8948485
163,53.6852277,-1.6968434
164,52.5069061,-1.9023766
165,53.712995,-1.6305049
166,55.08457,-1.5877796
167,53.6828605,-1.4947434
168,53.6832802,-1.4980001
169,51.5410199,0.6957844
170,51.4827558,-3.2131718
171,51.5411323,0.695476
172,51.4822369,-3.1774942
173,51.4776382,-3.1777504
174,51.1175931,-0.1725038
175,52.1983003,-2.2014959
176,52.2060953,-2.2027277
177,52.2097044,-2.1870017
178,52.2034363,-2.1907141
179,51.4340944,-0.9682057
180,52.4819329,-1.8966362
181,52.4820724,-1.8968113
182,53.4323527,-1.3572295
183,53.425689,-1.326676
184,55.6737612,-3.7747967
185,52.8214248,-2.1324117
186,53.432374,-1.357307
187,53.431939,-1.357216
188,52.4726726,-1.9171068
189,51.4791528,-3.1783492
190,53.6911544,-1.6292081
191,51.5644953,-0.1321659
192,55.0862369,-1.5853779
193,51.5612158,-0.1127962
194,52.9302556,-1.1255643
195,52.0616256,1.184002
196,54.9418923,-2.7351046
197,52.2280149,-0.9009878
198,52.5524521,-1.8836136
199,52.5536466,-1.8846006
200,52.5537035,-1.8837271
201,52.0304384,1.2000792
202,51.5462769,-0.1441036
203,51.897772,-2.099946
204,51.5175478,-0.1515688
205,52.9211196,-1.4752056
206,52.9213343,-1.4740321
207,51.27974,-0.3753663
208,52.4794707,-1.9011071
209,50.9778281,-1.3601538
210,51.373224,0.5529845
211,53.45282,-2.2861129
212,51.2961055,-0.3552689
213,52.1373923,-0.4705931
214,53.4540986,-2.2991462
215,51.4889202,-0.1346275
216,53.3660519,-0.0040445
217,56.2444388,-4.2167512
218,51.5768067,-3.2175602
219,52.1369144,-0.4550464
220,51.3927687,-0.6289499
221,53.4652676,-2.2595319
222,51.5404683,0.0004653
223,51.5406309,0.0006719
224,52.6364614,-2.4513023
225,52.6356571,-2.4504192
226,50.7348539,-1.77808
227,55.8588317,-4.2632655
228,52.9531621,-1.1513749
229,52.9531916,-1.1514307
230,55.8642143,-4.2204414
231,52.0601056,-2.6962474
232,51.4494121,-0.1898561
233,52.0646572,-0.7919543
234,51.5221999,-0.1357046
235,51.5692092,-0.1122256
236,55.0056047,-1.517877
237,51.4987409,0.0897577
238,51.5805157,-0.3338758
239,51.5810098,-0.333575
240,51.9702364,-0.2104577
241,51.5643885,-0.3535354
242,51.581515,-0.3334739
243,52.2272625,-2.7387515
244,53.6435516,-1.813149
245,53.6442647,-1.7835364
246,53.6442618,-1.7832174
247,51.5581041,-0.118671
248,55.8609505,-4.2438404
249,50.9176429,-1.4277154
250,50.9869824,-1.3731322
251,54.5826424,-0.9739012
252,53.4128382,-2.9125344
253,52.53048,-1.3613198
254,55.8760162,-4.323932
255,53.8591698,-1.9111811
256,55.4128509,-1.7072712
257,55.85723,-4.2461126
258,55.8580829,-4.2529813
259,55.8607288,-4.2582744
260,55.8607227,-4.2581697
261,55.8607207,-4.2580794
262,53.8179587,-3.054715
263,55.8634603,-4.21434
264,52.9461387,-1.2328406
265,55.8556393,-4.2274296
266,55.8554727,-4.2357723
267,55.8582544,-4.2423813
268,55.8572929,-4.2557764
269,51.5366908,-0.9042853
270,55.8585872,-4.2167944
271,55.858342,-4.2180874
272,51.59822,-0.092489
273,51.5978908,-0.0924531
274,51.5978938,-0.0927524
275,55.9340527,-3.1781594
276,52.7701866,-1.2068247
277,52.7730037,-1.2084758
278,53.4026673,-1.5015089
279,52.2821576,-0.6095476
280,51.620023,-3.9464513
281,51.6201618,-3.9465443
282,54.543739,-1.9236568
283,53.6528897,-1.8163409
284,50.5274123,-3.5877552
285,53.2279231,-4.1236255
286,50.9175193,-1.4275806
287,56.0098047,-3.7103447
288,52.5211104,-1.784371
289,51.1315586,0.2632272
290,52.2135015,0.154309
291,52.1872971,0.1483148
292,50.8449321,-1.0671953
293,54.9507996,-1.5954911
294,55.8194212,-3.806879
295,55.8693611,-4.2306354
296,54.6982658,-1.6039439
297,54.699221,-1.600795
298,52.2207602,0.1338505
299,55.8655565,-4.2656451
300,55.8835179,-4.1650573
301,52.1880725,0.1738754
302,52.1873868,0.1735696
303,52.1084334,-2.3113383
304,55.8977303,-4.2137961
305,55.8977467,-4.2157815
306,55.8786845,-4.1954387
307,55.9741706,-3.1860656
308,55.9710442,-3.2075056
309,51.593187,0.0259259
310,55.868659,-4.1881214
311,52.2244867,0.1281494
312,51.5281727,-0.092034
313,51.5948931,0.0239595
314,50.444436,-3.5633146
315,55.9496768,-3.2088827
316,55.9502596,-3.2087651
317,50.7844018,-1.0887062
318,51.4947095,-0.1305346
319,55.8651859,-4.1834481
320,51.1180068,-0.1635415
321,52.2439167,0.4055578
322,52.2442426,0.4043957
323,53.8158068,-1.6011436
324,52.1997797,0.126719
325,55.8578362,-4.1355766
326,50.9249857,-1.3756732
327,51.5462896,-0.0549137
328,51.5899084,-0.0166294
329,55.9467683,-3.2161434
330,53.7370819,-2.9626559
331,53.7988469,-1.5409075
332,53.7986377,-1.5400885
333,53.7972957,-1.5405535
334,55.8929182,-4.2604779
335,55.8955269,-4.2618436
336,51.5923256,0.0282976
337,51.5917455,0.0277742
338,51.597642,-0.0156505
339,53.3479234,-3.095109
340,55.8606206,-4.2589711
341,55.8560501,-4.2433346
342,51.3745965,-0.0967117
343,55.8832681,-4.2294517
344,53.8221722,-1.5782285
345,55.8581656,-4.2240601
346,50.4356478,-3.5657498
347,52.4618509,-2.0127674
348,53.7959809,-1.548569
349,53.7982788,-1.5394192
350,53.7979444,-1.5395818
351,53.7963131,-1.5378936
352,53.3759053,-3.0329282
353,52.5324137,-1.9303739
354,55.8569247,-4.2494072
355,52.5419353,-2.1222802
356,52.5415465,-2.1223825
357,52.4634178,-1.997075
358,55.8591166,-4.2593909
359,55.8609748,-4.2620125
360,55.8917014,-3.4813271
361,52.0792379,1.1276671
362,51.903564,-2.099912
363,51.889921,-2.078471
364,52.0559936,1.1551141
365,52.9580589,-1.1657233
366,52.9529184,-1.1502446
367,52.9537531,-1.1501169
368,51.894186,-2.064694
369,52.9549133,-1.1499997
370,53.4977305,-2.2367669
371,55.8492997,-4.2273768
372,51.363201,-0.0970292
373,52.9542537,-1.1934448
374,55.8602576,-4.2571925
375,52.9651509,-1.1700266
376,52.9665002,-1.1713929
377,52.9557356,-1.176591
378,52.955755,-1.1763199
379,51.5872059,-0.0033769
380,53.0104861,-1.1744185
381,52.4140679,-4.0858498
382,52.9432915,-1.1454604
383,52.9743113,-1.2156987
384,52.9707747,-1.1983613
385,52.954485,-1.1220036
386,52.9760151,-1.1891834
387,52.9641224,-1.229283
388,52.9763777,-1.211198
389,52.9104616,-1.172137
390,52.9037399,-1.1773156
391,51.5580181,-0.3351638
392,51.5517137,-0.3389153
393,52.9536762,-1.1460798
394,52.604188,-1.9180524
395,53.0008609,-1.1972785
396,53.0013556,-1.1966669
397,53.0026727,-1.1957829
398,53.0012394,-1.1971304
399,52.9643291,-1.1795088
400,51.9950759,-2.1566653
401,52.4002722,0.2641858
402,51.949551,-0.2765637
403,51.480916,-0.6116425
404,51.5913595,-0.1415626
405,51.5816099,-0.0997206
406,51.5829151,-0.0999766
407,51.5815218,-0.0993701
408,51.5817771,-0.09976
409,52.9806158,-1.1470172
410,51.5225377,-0.7228016
411,55.9588888,-3.2114704
412,53.0028616,-1.1571665
413,52.9957609,-1.1912526
414,51.5595741,-1.7826126
415,53.3389475,-2.691818
416,52.9556197,-1.1478614
417,51.541485,0.0035575
418,52.9542043,-1.1488925
419,51.6118586,-0.0651877
420,53.6779947,-1.7415467
421,52.1369206,-0.4702691
422,54.3970993,-5.7626104
423,51.5967437,-1.8064535
424,51.4697921,-0.3966264
425,51.7064225,-0.41705
426,52.5410416,-1.3726913
427,51.3408682,-0.7776562
428,51.5726049,-0.2948342
429,53.8285036,-1.5664344
430,50.7905033,-1.0552216
431,50.7899742,-1.0553476
432,50.7955863,-1.0592665
433,52.3953476,-1.97996
434,53.3721222,-3.0113286
435,51.6643141,-0.0441333
436,51.6688091,-0.0412097
437,50.8209372,-0.1358729
438,51.6703586,-0.0407779
439,51.4274815,-0.1674369
440,51.4284238,-0.1678888
441,51.6690251,-0.041551
442,51.5736375,-0.2941762
443,51.6167561,-0.085712
444,51.6483715,-0.1300964
445,51.6491723,-0.1286509
446,51.7009267,-0.4038559
447,51.6469596,-0.0471756
448,51.6410419,-0.0475487
449,51.635613,-0.052193
450,51.6339532,-0.0535316
451,51.6244317,-0.0591455
452,51.6317828,-0.054728
453,53.3038383,-1.1246672
454,53.3038928,-1.1244231
455,53.3073097,-1.12309
456,51.3841175,0.5561809
457,52.4881081,-2.0100212
458,51.4591701,0.0495295
459,51.4504624,0.0522149
460,52.0567649,1.1560586
461,52.0574798,1.1563692
462,51.4502569,0.0543377
463,51.4498818,0.0539843
464,52.9485855,-1.1747325
465,54.9428976,-1.6238006
466,55.93326,-3.1663935
467,51.4989818,-0.1328608
468,53.3755531,-1.4743287
